roma_sum_cs,CS_ha,Annual
19178,46.9861,19.0428926282
17392,42.6104,18.9669332452
14903,36.51235,18.9331281161
15436,37.8182,19.091167318
21323,52.24135,19.2019361036
20008,49.0196,18.9922732747
8702,21.3199,18.5299445194
4296,10.5252,18.2442642966
7145,17.50525,18.1889850896
2676,6.5562,18.1725335668
1579,3.86855,18.1368493315
4532,11.1034,18.3351899748
8544,20.9328,18.7370403787
15161,37.14445,19.2141965859
10861,26.60945,19.5589871748
18206,44.6047,19.4834174914
25363,62.13935,19.2318879095
15546,38.0877,18.8825322387
8140,19.943,18.642055429
17209,42.16205,18.0194429122
22072,54.0764,17.9424472051
4961,12.15445,17.7913388787
403,0.98735,17.7517221238
848,2.0776,17.776641363
1553,3.80485,17.8014929384
813,1.99185,17.8671685926
1133,2.77585,17.9061642956
251,0.61495,17.9451033466
11876,29.0962,18.2528538761
17043,41.75535,18.6405845142
14778,36.2061,18.811768959
11050,27.0725,18.7706863379
3894,9.5403,18.6293856838
7343,17.99035,18.7016061883
15790,38.6855,18.9451450448
26377,64.62365,18.9241228539
11751,28.78995,18.6849850521
6316,15.4742,18.5557793522
12303,30.14235,18.5725514507
14926,36.5687,18.4700713556
3794,9.2953,18.2832518784
3903,9.56235,18.285289797
1017,2.49165,18.5290078863
14422,35.3339,18.9351401775
15859,38.85455,19.3560826914
3536,8.6632,18.4952441099
1773,4.34385,18.14728923
4370,10.7065,18.4441237442
15136,37.0832,18.7929014611
9322,22.8389,18.9503639507
12393,30.36285,19.0069745745
14403,35.28735,18.9416743046
18452,45.2074,18.7388667013
14210,34.8145,18.4850682027
9654,23.6523,18.1858780364
19489,47.74805,18.0204700152
8312,20.3644,18.1732542126
21408,52.4496,18.5476130932
12772,31.2914,18.747941408
19824,48.5688,18.6839809426
10612,25.9994,18.4063170346
9357,22.92465,18.2546383862
15908,38.9746,18.3487986312
16265,39.84925,18.3404697809
2340,5.733,18.4155869274
12537,30.71565,18.3784725268
13128,32.1636,18.3440631426
13719,33.61155,18.2775576769
10589,25.94305,18.2144653822
1499,3.67255,18.2226244846
1178,2.8861,18.3020800358
1139,2.79055,18.5292525116
18040,44.198,18.8667618599
1105,2.70725,17.8611292454
1363,3.33935,18.0244742231
4233,10.37085,18.354846749
10050,24.6225,18.8217840709
27860,68.257,19.3047595685
25356,62.1222,19.5870576548
24655,60.40475,19.6526969936
28535,69.91075,19.4371277084
23754,58.1973,19.0079333952
11937,29.24565,18.5053388345
7815,19.14675,18.0147003861
2250,5.5125,17.5909463328
4882,11.9609,17.6478958501
11212,27.4694,18.0606352855
20913,51.23685,18.2969360213
11451,28.05495,18.2132829429
1834,4.4933,18.0287430823
